4000 4000
4352 7022 7283
6865 1458 512
3525 5925 4316
1271 7575 9530
8395 8691 11
4351 7259 3487
5035 9014 2425
7517 2819 1655
7146 7546 7521
7961 8144 793
9623 4646 4378
7743 3336 8582
8564 6578 68
9853 7563 6383
2819 465 7380
1972 402 7640
4782 9720 7244
1829 5435 2854
6443 949 2221
3983 8752 6156
1584 2254 7368
5334 6003 7165
5215 3321 328
4018 9715 9944
4128 875 8623
5372 9890 7935
1053 9747 2323
4617 6372 8597
5504 6781 991
2289 4332 5329
1345 9093 5148
9773 3733 1300
7545 6964 9877
7660 1384 3652
6165 6937 3196
5329 7907 1859
3755 2190 493
4312 7569 6299
4567 607 9723
5811 9829 235
5606 526 6936
3 3437 2414
7855 5942 6879
6163 2194 7777
7780 7590 8327
5032 2966 4527
9372 8992 6041
8497 5622 6393
456 2016 5524
9858 7091 4175
2463 9927 7243
1792 3808 1439
6676 1363 4362
8595 1906 8491
901 3704 8005
2634 9688 4049
8761 5245 4349
2136 2356 4656
2312 1290 8026
9824 1764 8206
6841 1516 5958
9665 7515 831
5560 7520 9383
8399 2720 6793
6434 4510 5278
6567 3599 3226
271 8875 4891
1440 9192 9407
2968 1678 558
5017 4479 9516
9789 352 3140
6544 2197 1679
6650 5237 279
8366 1321 7713
9760 9582 5150
1351 7136 7069
6431 3927 1799
5968 5850 6157
1986 7278 7509
6404 7485 4221
5298 2544 2236
4107 2761 565
2992 838 3426
332 8166 4168
2206 870 9791
7824 8582 4954
8670 8164 4930
8411 4300 646
5220 2570 704
7002 3537 7692
4885 7970 7765
8277 7206 7758
5553 1289 4553
8453 7212 2388
877 4752 5048
9691 9337 6822
4926 2252 1139
8517 3633 8675
8597 1919 6447
714 9553 3299
3683 2755 5354
8525 527 114
4324 4783 9218
1113 8066 13
8150 7485 1363
7709 6391 7156
604 3476 7589
3824 4453 4990
7351 3743 3345
7063 4782 2288
4195 7633 9861
7047 2703 6515
5439 5499 1650
772 2793 8050
5380 5406 6445
2198 6106 8090
5944 8529 9469
530 8345 4823
6720 1650 384
9533 7871 8693
5070 144 8761
8444 2925 6255
9307 9111 7621
4129 3648 3472
5811 6140 3191
6676 716 3612
5031 404 737
1252 771 3946
9589 1381 9415
6496 4861 6210
2425 764 3477
9297 3199 3332
6540 1923 3935
650 1821 1811
2145 2598 9383
4886 5753 6432
6536 5984 2871
5508 3169 8205
4785 1421 8470
2377 2487 169
7886 9015 7532
1888 2547 2997
1752 1845 9683
5972 515 5596
126 9786 378
4143 1347 7327
7615 6054 5691
1302 3567 6110
6762 2915 8572
3681 1515 9285
2848 8573 1445
5965 4620 600
5497 380 2554
1237 9122 7709
729 2150 7845
5152 6037 9946
1677 8382 2878
4401 2152 6479
4957 3157 2282
2927 3241 8207
7429 2945 5585
2035 9783 9762
3844 879 2081
931 6177 5814
2191 2683 9498
2989 3956 9022
4489 9908 786
1014 3342 7606
5714 9565 1785
7718 914 1735
5733 1790 784
2920 4233 6047
310 1747 1310
4691 6414 4347
5296 9155 9079
7180 8978 662
817 1264 8880
8799 5240 5521
8470 3979 5560
7198 2507 3444
6842 5661 8992
4480 8985 9233
279 3058 7069
6272 8847 1489
5543 1620 505
5209 6423 7115
9290 8142 8730
3028 5118 2222
9686 7964 618
7106 9095 5144
2953 3850 1477
2874 3634 1353
3402 240 1166
6080 667 8005
1734 6627 6037
5320 2881 2090
6628 1803 2040
1948 1129 8937
8829 834 4995
3291 4675 3440
774 5720 6010
6644 5988 1922
7730 8792 7605
5116 4818 717
3386 4343 3040
9421 4000 4746
1207 7473 4536
1351 1734 1350
4776 4287 4823
231 3739 4069
5036 7818 4440
1290 1797 5314
3711 5352 9570
5272 840 8688
1048 2996 2545
9639 8518 6870
449 6478 3238
3969 1719 5619
5768 4567 7662
829 5471 3577
561 4037 6403
6283 1240 7645
9334 6049 9396
6565 7495 3680
3859 4373 6540
4496 4247 884
5063 9214 2829
6876 8623 301
6613 8564 1948
1803 3168 5039
6124 2266 2566
8741 2493 9528
1641 9893 7975
1638 2518 7699
